variable_name,missing_count,missing_ratio
short_term_borrowings_share,1095,0.21061742642815925
net_margin_diff,969,0.18638199653779572
total_assets_growth,919,0.17676476245431813
market_to_book,729,0.1402192729371033
accruals_ratio,728,0.14002692825543372
capital_impairment_ratio,728,0.14002692825543372
cash_ratio,728,0.14002692825543372
current_ratio,728,0.14002692825543372
debt_ratio,728,0.14002692825543372
equity_ratio,728,0.14002692825543372
intangible_assets_ratio,728,0.14002692825543372
net_margin,728,0.14002692825543372
ocf_to_total_liabilities,728,0.14002692825543372
operating_roa,728,0.14002692825543372
pretax_roa,728,0.14002692825543372
pretax_roe,728,0.14002692825543372
total_borrowings_ratio,728,0.14002692825543372
total_debt_turnover,728,0.14002692825543372
assets_total,0,0.0
depreciation,0,0.0
dividend_payer,0,0.0
firm_size_group,0,0.0
gross_profit,0,0.0
industry_macro_category,0,0.0
interest_coverage_ratio,0,0.0
is_2y_consecutive_ocf_deficit,0,0.0
listed_year,0,0.0
market,0,0.0
spec_spread,0,0.0
