feature_transformed,coefficient,abs_coefficient,feature_name
numeric__gross_profit,-2.5458450500261276,2.5458450500261276,gross_profit
numeric__capital_impairment_ratio,2.2379405249170374,2.2379405249170374,capital_impairment_ratio
numeric__depreciation,-2.097771608681187,2.097771608681187,depreciation
categorical__firm_size_group_large,-1.6282735094446545,1.6282735094446545,firm_size_group
numeric__debt_ratio,1.536958654036542,1.536958654036542,debt_ratio
categorical__industry_macro_category_other,-1.4122965843891206,1.4122965843891206,industry_macro_category
categorical__market_KOSPI,-0.9343609897986501,0.9343609897986501,market
categorical__firm_size_group_small_and_medium,0.7375279997565707,0.7375279997565707,firm_size_group
categorical__industry_macro_category_it_services,-0.7181665494613962,0.7181665494613962,industry_macro_category
numeric__assets_total,-0.6715427033750266,0.6715427033750266,assets_total
categorical__industry_macro_category_transport_storage,0.6653812921335213,0.6653812921335213,industry_macro_category
numeric__ocf_to_total_liabilities,-0.62812027609177,0.62812027609177,ocf_to_total_liabilities
numeric__net_margin_diff,0.5807443334419045,0.5807443334419045,net_margin_diff
categorical__industry_macro_category_wholesale_retail,0.5523432866339661,0.5523432866339661,industry_macro_category
numeric__dividend_payer,-0.544912311352045,0.544912311352045,dividend_payer
categorical__industry_macro_category_construction,-0.44381184881733243,0.44381184881733243,industry_macro_category
numeric__net_margin,-0.35120779159829496,0.35120779159829496,net_margin
numeric__operating_roa,-0.31599438725298395,0.31599438725298395,operating_roa
numeric__equity_ratio,-0.30741233555257547,0.30741233555257547,equity_ratio
categorical__industry_macro_category_manufacturing,0.2719546068859481,0.2719546068859481,industry_macro_category
numeric__interest_coverage_ratio,-0.263545120721086,0.263545120721086,interest_coverage_ratio
numeric__short_term_borrowings_share,0.2355487714553655,0.2355487714553655,short_term_borrowings_share
numeric__pretax_roa,-0.22816284648694315,0.22816284648694315,pretax_roa
numeric__accruals_ratio,-0.2127578452800225,0.2127578452800225,accruals_ratio
numeric__total_debt_turnover,-0.15950596074971995,0.15950596074971995,total_debt_turnover
categorical__market_KOSDAQ,-0.15023480721589322,0.15023480721589322,market
numeric__current_ratio,-0.135821028868674,0.135821028868674,current_ratio
numeric__is_2y_consecutive_ocf_deficit,0.132938871806287,0.132938871806287,is_2y_consecutive_ocf_deficit
numeric__cash_ratio,0.13193679696896968,0.13193679696896968,cash_ratio
numeric__pretax_roe,-0.13129098176419615,0.13129098176419615,pretax_roe
numeric__total_borrowings_ratio,0.12978380095121317,0.12978380095121317,total_borrowings_ratio
numeric__total_assets_growth,-0.1211903074194995,0.1211903074194995,total_assets_growth
numeric__intangible_assets_ratio,-0.11750688186059682,0.11750688186059682,intangible_assets_ratio
categorical__firm_size_group_other,-0.0995338259033802,0.0995338259033802,firm_size_group
numeric__listed_year,-0.09465357287205393,0.09465357287205393,listed_year
categorical__firm_size_group_mid_sized,-0.09431646142263203,0.09431646142263203,firm_size_group
numeric__market_to_book,-0.022494363785398302,0.022494363785398302,market_to_book
numeric__spec_spread,-0.017115306222680503,0.017115306222680503,spec_spread
