feature,importance
Operating_INC,0.14622606
Total_EQ,0.12183684
OCF_3Y_Mean,0.076171145
InterEXP_SalesINC_Ratio_win,0.03256581
OperINC_InterEXP_Ratio_win,0.029202057
NI_SalesINC_Ratio_win,0.027916702
ContractAST_SalesINC_Ratio_win,0.027267946
Debt_Ratio_win,0.027134461
OperINC_SalesINC_Ratio_win,0.023691963
ShortLIAB_TD_Ratio_win,0.022436582
TD,0.019271938
SalesINC_Growth_win,0.018850043
TotalEQ_TotalAST_Ratio_win,0.018429846
firm_age,0.018299995
log_Total_AST,0.017954763
CurAST_CurLIAB_Ratio_win,0.016330969
OCF,0.016227843
OCF_InterEXP_Ratio_win,0.015856573
Total_AST,0.01530979
TradeAST_TotalAST_Ratio_win,0.015292129
Sales_INC,0.015193673
OCF_Neg_2Y_Flag,0.015019147
WorkingCapital_TotalAST_Ratio_win,0.014647338
GrossINC_SalesINC_Ratio_win,0.014352917
TD_TotalAST_Ratio_win,0.014327874
NI_INC,0.01414172
Total_LIAB,0.013224533
OCF_TotalLIAB_Ratio_win,0.013080492
NetDebt_TotalAST_Ratio_win,0.012980325
OperINC_Growth_win,0.012353544
Interest_EXP,0.011937734
INVAST_TotalAST_Ratio_win,0.011667076
USDKRW,0.011230232
Spread_Credit,0.010734133
PPI,0.010522963
OCF_SalesINC_Ratio_win,0.010111641
OCF_TD_Ratio_win,0.009852091
Current_AST,0.009435722
CCE_CurLIAB_Ratio_win,0.009375163
BaseRate,0.0092640165
firm_history_len,0.00882755
OperINC_Growth_Neg_2Y_Flag,0.007548035
Current_LIAB,0.0074497806
3YRate_KTB,0.007399722
OperINC_InterEXP_Ratio_Trend,0.0072397417
3YRate_CorpBond_BBB,0.006667007
3YRate_CorpBond_AA,0.0051423847
AO_NonClean_Flag,0.0
AO_Missing_Flag,0.0
ZeroInterestExpense_Flag,0.0
OCF_Neg,0.0
CapitalImpairment_Flag,0.0
OperINC_InterEXP_Ratio_Trend_Missing,0.0
SalesINC_Growth_Missing,0.0
OperINC_Growth_Missing,0.0
Spread_Quality,0.0
